Item,Precio,URL
Toallas de Cocina TIENDA INGLESA 60 Paños x 2 Rollos,$ 120,"https://www.tiendainglesa.com.uy/supermercado/toallas-de-cocina-tienda-inglesa-60-panos-x-2-rollos.producto?796,,42"
Toalla de Cocina TIENDA INGLESA Plus 2 Rollos x 55 Paños,$ 79,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-cocina-tienda-inglesa-plus-2-rollos-x-55-panos.producto?1097912,,42"
Papel Higiénico TIENDA INGLESA Doble Hoja 4 Rollos x 30 Mts,$ 171,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-tienda-inglesa-doble-hoja-4-rollos-x-30-mts.producto?7128,,42"
Agua JANE 2 L,$ 148,"https://www.tiendainglesa.com.uy/supermercado/agua-jane-2-l.producto?1180,,42"
Papel Higiénico TIENDA INGLESA Plus 12 Rollos x 30 Mts Doble Hoja,$ 309,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-tienda-inglesa-plus-12-rollos-x-30-mts-doble-hoja.producto?1097911,,42"
Papel Higiénico HIGIENOL Premium 8x6 Rollos x 30 mts,$ 273,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-premium-8x6-rollos-x-30-mts.producto?409943,,42"
Papel Higiénico TIENDA INGLESA Plus 8 Rollos x 30 Mts,$ 238,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-tienda-inglesa-plus-8-rollos-x-30-mts.producto?1097910,,42"
Limpiador Líquido Multiusos FABULOSO Frescura Activa Antibacterial Fre...,$ 211,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-frescura-activa-antibacterial-fresca-lavanda-2-l.producto?381346,,42"
Bolsas UNISOLD para Residuos en Rollo 30 Unidades 50x62cm,$ 118,"https://www.tiendainglesa.com.uy/supermercado/bolsas-unisold-para-residuos-en-rollo-30-unidades-50x62cm.producto?401035,,42"
Toalla de Papel NOVA Clásico 3 Rollos x 180 Paños,$ 135,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-papel-nova-clasico-3-rollos-x-180-panos.producto?101999,,42"
Papel Higiénico ELITE Hoja Simple 12 Rollos x 30 mts,$ 322,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-hoja-simple-12-rollos-x-30-mts.producto?2673,,42"
Papel Higiénico ELITE Ultra 12 Rollos x 30 mts,$ 473,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-ultra-12-rollos-x-30-mts.producto?340366,,42"
Detergente TIENDA INGLESA Limón 1.25 L,$ 111,"https://www.tiendainglesa.com.uy/supermercado/detergente-tienda-inglesa-limon-1.25-l.producto?384200,,42"
Bolsa de Residuos Negra TIENDA INGLESA 10 Unidades 60 x 75 cm,$ 103,"https://www.tiendainglesa.com.uy/supermercado/bolsa-de-residuos-negra-tienda-inglesa-10-unidades-60-x-75-cm.producto?1184,,42"
Limpiador CIF Cremoso Multiuso Original 750 G,$ 180,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-cremoso-multiuso-original-750-g.producto?2776,,42"
Lavandina TIENDA INGLESA 2 L,$ 123,"https://www.tiendainglesa.com.uy/supermercado/lavandina-tienda-inglesa-2-l.producto?3767,,42"
Esponja TIENDA INGLESA 3 Unidades,$ 92,"https://www.tiendainglesa.com.uy/supermercado/esponja-tienda-inglesa-3-unidades.producto?1096630,,42"
Servilleta de Mesa ELITE Blanca 200 x 160 Unidades,$ 264,"https://www.tiendainglesa.com.uy/supermercado/servilleta-de-mesa-elite-blanca-200-x-160-unidades.producto?278511,,42"
Agua JANE 1 L,$ 94,"https://www.tiendainglesa.com.uy/supermercado/agua-jane-1-l.producto?23149,,42"
Toalla de Papel ELITE Ultra 3 Rollos x 210 Paños,$ 245,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-papel-elite-ultra-3-rollos-x-210-panos.producto?5412,,42"
Servilleta ELITE Cocktail Blanca 200 x 160 Unidades,$ 216,"https://www.tiendainglesa.com.uy/supermercado/servilleta-elite-cocktail-blanca-200-x-160-unidades.producto?327787,,42"
Papel Higiénico ELITE Ultra Doble Hoja 4 Rollos x 50 mts,$ 301,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-ultra-doble-hoja-4-rollos-x-50-mts.producto?351572,,42"
Limpiador Líquido Multiusos FABULOSO Frescura Activa Antibacterial Mar...,$ 211,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-frescura-activa-antibacterial-mar-fresco-2-l.producto?102564,,42"
Bolsas de Residuos para Jardín TIENDA INGLESA 10 Unidades 70 x 110 cm,$ 172,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-para-jardin-tienda-inglesa-10-unidades-70-x-110-cm.producto?1185,,42"
Jabón Líquido SKIP Doypack 3 L,$ 654,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-skip-doypack-3-l.producto?295340,,42"
Toalla de Cocina ELITE Ultra Maxirollo 2 Rollos x 240 Paños,$ 269,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-cocina-elite-ultra-maxirollo-2-rollos-x-240-panos.producto?352271,,42"
Jabón BULL DOG x 2 Unidades 200 gr,$ 146,"https://www.tiendainglesa.com.uy/supermercado/jabon-bull-dog-x-2-unidades-200-gr.producto?377621,,42"
Bolsas de Residuos Negra TIENDA INGLESA 20 Unidades 48 x 55 cm,$ 67,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-negra-tienda-inglesa-20-unidades-48-x-55-cm.producto?1181,,42"
Papel Higiénico TIENDA INGLESA Plus 4 Rollos x 30 Mts Doble Hoja,$ 133,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-tienda-inglesa-plus-4-rollos-x-30-mts-doble-hoja.producto?1097909,,42"
Detergente CIF BioActive Lima 750 Ml,$ 195,"https://www.tiendainglesa.com.uy/supermercado/detergente-cif-bioactive-lima-750-ml.producto?1094343,,42"
Detergente CIF BioActive Lima 900 Ml,$ 236,"https://www.tiendainglesa.com.uy/supermercado/detergente-cif-bioactive-lima-900-ml.producto?229749,,42"
Limpiador Líquido Multiuso FABULOSO Frescura Activa Antibacterial Pasi...,$ 211,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiuso-fabuloso-frescura-activa-antibacterial-pasion-de-frutas-2-l.producto?381347,,42"
Jabón Líquido SKIP para Diluir x 3 Unidades 500 ml c/u,$ 1.350,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-skip-para-diluir-x-3-unidades-500-ml-c-u.producto?1005626,,42"
Bolsa de Residuos TIENDA INGLESA 50 x 62 cm 30 Unidades,$ 109,"https://www.tiendainglesa.com.uy/supermercado/bolsa-de-residuos-tienda-inglesa-50-x-62-cm-30-unidades.producto?1095919,,42"
Suavizante COMFORT Clásico Doypack 3 L,$ 470,"https://www.tiendainglesa.com.uy/supermercado/suavizante-comfort-clasico-doypack-3-l.producto?337099,,42"
Lustramuebles BLEM Original 420 cc,$ 345,"https://www.tiendainglesa.com.uy/supermercado/lustramuebles-blem-original-420-cc.producto?420274,,42"
Limpiador Líquido Multiusos FABULOSO Frescura Activa Antibacterial Mar...,$ 114,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-frescura-activa-antibacterial-mar-fresco-1-l.producto?102562,,42"
Bolsa de Residuos JÚPITER 50 x 55 cm Negra x 10 Unidades,$ 86,"https://www.tiendainglesa.com.uy/supermercado/bolsa-de-residuos-jupiter-50-x-55-cm-negra-x-10-unidades.producto?380927,,42"
Limpiador CIF Líquido Vidrios y Multiuso Biodegradable Recarga 900 Ml,$ 227,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-liquido-vidrios-y-multiuso-biodegradable-recarga-900-ml.producto?257199,,42"
Papel Higiénico HIGIENOL Doble Hoja Premium 4 Rollos x 30 mts,$ 183,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-doble-hoja-premium-4-rollos-x-30-mts.producto?307085,,42"
Detergente TIENDA INGLESA Aloe 1.25 L,$ 111,"https://www.tiendainglesa.com.uy/supermercado/detergente-tienda-inglesa-aloe-1.25-l.producto?384201,,42"
Lavandina VIM Lavanda en Gel 700 ml,$ 168,"https://www.tiendainglesa.com.uy/supermercado/lavandina-vim-lavanda-en-gel-700-ml.producto?262653,,42"
Jabón de Ropa Líquido TIENDA INGLESA Doypack 3 L,$ 378,"https://www.tiendainglesa.com.uy/supermercado/jabon-de-ropa-liquido-tienda-inglesa-doypack-3-l.producto?419324,,42"
Insecticida RAID Mata Moscas y Mosquitos Sin Olor en Aerosol 420 cc,$ 312,"https://www.tiendainglesa.com.uy/supermercado/insecticida-raid-mata-moscas-y-mosquitos-sin-olor-en-aerosol-420-cc.producto?408760,,42"
Toalla de Papel NOVA Gigante x 150 mts,$ 486,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-papel-nova-gigante-x-150-mts.producto?370014,,42"
Jabón Líquido SKIP para Diluir 500 ml Pack Ahorro x 2,$ 899,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-skip-para-diluir-500-ml-pack-ahorro-x-2.producto?1509363,,42"
Esponja Acanalada VIRUTEX x 3 Unidades,$ 98,"https://www.tiendainglesa.com.uy/supermercado/esponja-acanalada-virutex-x-3-unidades.producto?388341,,42"
Limpiador Líquido Multiusos FABULOSO Frescura Activa Antibacterial Fre...,$ 114,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-frescura-activa-antibacterial-fresca-lavanda-1-l.producto?381345,,42"
Guantes Amarillos TIENDA INGLESA N°8,$ 110,"https://www.tiendainglesa.com.uy/supermercado/guantes-amarillos-tienda-inglesa-n8.producto?1093472,,42"
Bolsa Residuo Rollo 30 Unidades Verde UNISOLD 50 x 62 cm,$ 118,"https://www.tiendainglesa.com.uy/supermercado/bolsa-residuo-rollo-30-unidades-verde-unisold-50-x-62-cm.producto?409179,,42"
Bolsas para Residuos JÚPITER 50 x 60 cm Limón 10 Unidades,$ 113,"https://www.tiendainglesa.com.uy/supermercado/bolsas-para-residuos-jupiter-50-x-60-cm-limon-10-unidades.producto?98795,,42"
Desinfectante de Ambientes y Elimina Olores LYSOFORM Original en Aeros...,$ 252,"https://www.tiendainglesa.com.uy/supermercado/desinfectante-de-ambientes-y-elimina-olores-lysoform-original-en-aerosol-360-ml.producto?4641,,42"
Limpiador CIF Líquido Vidrios y Multiuso Biodegradable Recarga 450 Ml,$ 141,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-liquido-vidrios-y-multiuso-biodegradable-recarga-450-ml.producto?2560,,42"
Limpiador CIF Cremoso Multiuso Limón 750 G,$ 180,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-cremoso-multiuso-limon-750-g.producto?5091,,42"
Servilleta NOVA Cóctel 200 x 160 Unidades,$ 150,"https://www.tiendainglesa.com.uy/supermercado/servilleta-nova-coctel-200-x-160-unidades.producto?331555,,42"
Toalla de Papel NOVA Extra Megarrollo 3 Rollos x 360 Paños,$ 299,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-papel-nova-extra-megarrollo-3-rollos-x-360-panos.producto?1099851,,42"
Esponja de Aluminio VIRULANA x 10 Rollos 70gr,$ 87,"https://www.tiendainglesa.com.uy/supermercado/esponja-de-aluminio-virulana-x-10-rollos-70gr.producto?245184,,42"
Limpiador CIF Líquido Baño Biodegradable Recarga 450 Ml,$ 151,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-liquido-bano-biodegradable-recarga-450-ml.producto?239581,,42"
Limpiavidrios Liquido TIENDA INGLESA 500 ml,$ 176,"https://www.tiendainglesa.com.uy/supermercado/limpiavidrios-liquido-tienda-inglesa-500-ml.producto?1096211,,42"
Guantes Amarillos TIENDA INGLESA N°8 1/2,$ 110,"https://www.tiendainglesa.com.uy/supermercado/guantes-amarillos-tienda-inglesa-n8-1-2.producto?1093475,,42"
Papel Higiénico HIGIENOL Premium Doble Hoja 4 Rollos x 50 mts,$ 299,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-premium-doble-hoja-4-rollos-x-50-mts.producto?97057,,42"
Papel Higiénico TOM Doble Hoja 30 m x 24,$ 609,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-tom-doble-hoja-30-m-x-24.producto?1094900,,42"
Detergente CIF BioActive Limón Recarga 450 Ml,$ 122,"https://www.tiendainglesa.com.uy/supermercado/detergente-cif-bioactive-limon-recarga-450-ml.producto?415357,,42"
Bolsas de Residuos HERRADURA 50 x 56 cm x 30 Unidades,$ 115,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-herradura-50-x-56-cm-x-30-unidades.producto?5497,,42"
Esponja BRONSOL de Bronce,$ 46,"https://www.tiendainglesa.com.uy/supermercado/esponja-bronsol-de-bronce.producto?3452,,42"
Pack Desinfectante de Ambientes y Elimina Olores LYSOFORM Original en....,$ 407,"https://www.tiendainglesa.com.uy/supermercado/pack-desinfectante-de-ambientes-y-elimina-olores-lysoform-original-en-aerosol-2-x-420ml.producto?1001002,,42"
Limpiador Líquido Multiusos FABULOSO Alternativa al Cloro 2 L,$ 211,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-alternativa-al-cloro-2-l.producto?1001632,,42"
Bolsa de Residuos TIENDA INGLESA 70 x 105 cm 10 Unidades,$ 150,"https://www.tiendainglesa.com.uy/supermercado/bolsa-de-residuos-tienda-inglesa-70-x-105-cm-10-unidades.producto?1095920,,42"
Suavizante COMFORT Concentrado Cuidado Essencial 1 L,$ 351,"https://www.tiendainglesa.com.uy/supermercado/suavizante-comfort-concentrado-cuidado-essencial-1-l.producto?1006560,,42"
Limpiador de Pisos Plastificados y Flotantes BLEM Original Botella 800...,$ 259,"https://www.tiendainglesa.com.uy/supermercado/limpiador-de-pisos-plastificados-y-flotantes-blem-original-botella-800ml.producto?882,,42"
Jabón Liquido QUERUBIN Premium Sachet 3 L,$ 420,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-querubin-premium-sachet-3-l.producto?97558,,42"
Papel Higiénico Húmedo FRESH UP x 80 Unidades,$ 244,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-humedo-fresh-up-x-80-unidades.producto?272451,,42"
Paño de Piso KLINER Standard 50x55 cm,$ 64,"https://www.tiendainglesa.com.uy/supermercado/pano-de-piso-kliner-standard-50x55-cm.producto?355823,,42"
Papel Higiénico ELITE Hoja Simple 4 Rollos x 30 mts,$ 109,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-hoja-simple-4-rollos-x-30-mts.producto?338497,,42"
Jabón Líquido Sachet Eco Lavado NEVEX 3 L,$ 399,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-sachet-eco-lavado-nevex-3-l.producto?96118,,42"
Bolsas de Residuos HERRADURA 80 x 105 cm,$ 171,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-herradura-80-x-105-cm.producto?3547,,42"
Lavandina TIENDA INGLESA 1 L,$ 78,"https://www.tiendainglesa.com.uy/supermercado/lavandina-tienda-inglesa-1-l.producto?2780,,42"
Papel Higiénico HIGIENOL Dúo Doble Hoja 50m x 4 Unidades,$ 325,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-duo-doble-hoja-50m-x-4-unidades.producto?261264,,42"
Papel Higiénico HIGIENOL Max 8 Rollos x 90 mts,$ 479,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-max-8-rollos-x-90-mts.producto?1551004,,42"
Detergente CIF BioActive Lima 500 Ml,$ 146,"https://www.tiendainglesa.com.uy/supermercado/detergente-cif-bioactive-lima-500-ml.producto?97529,,42"
Limpiador Líquido Multiuso FABULOSO Frescura Activa Antibacterial Limó...,$ 159,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiuso-fabuloso-frescura-activa-antibacterial-limon-refrescante-1.4-l.producto?413463,,42"
Guantes Amarillos TIENDA INGLESA N°7 1/2,$ 110,"https://www.tiendainglesa.com.uy/supermercado/guantes-amarillos-tienda-inglesa-n7-1-2.producto?1093465,,42"
