Item,Precio,Precio Oferta,URL
Flan ROYAL Doble de Vainilla 120 gr,$ 111,$ 96,"https://www.tiendainglesa.com.uy/supermercado/flan-royal-doble-de-vainilla-120-gr.producto?33,,42"
Lentejones LA ABUNDANCIA 450g,$ 141,0,"https://www.tiendainglesa.com.uy/supermercado/lentejones-la-abundancia-450g.producto?34,,42"
Cocoa VASCOLET 200 gr,$ 99,0,"https://www.tiendainglesa.com.uy/supermercado/cocoa-vascolet-200-gr.producto?38,,42"
Leonesa Tripon SCHNECK (Kg),$ 580,$ 480,"https://www.tiendainglesa.com.uy/supermercado/leonesa-tripon-schneck-kg.producto?40,,42"
Queso Untable Brie TALAR Pote 150 gr,$ 134,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-brie-talar-pote-150-gr.producto?98,,42"
Queso Blanco Descremado TALAR 400 gr,$ 198,0,"https://www.tiendainglesa.com.uy/supermercado/queso-blanco-descremado-talar-400-gr.producto?100,,42"
Jamón Cocido CENTENARIO Etiqueta Negra (Kg),$ 710,$ 497,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-centenario-etiqueta-negra-kg.producto?129,,42"
Mermelada LOS NIETITOS Sabor Naranja Pote 500g,$ 112,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-naranja-pote-500g.producto?137,,42"
Dulce de Batata LOS NIETITOS (Kg),$ 135,$ 108,"https://www.tiendainglesa.com.uy/supermercado/dulce-de-batata-los-nietitos-kg.producto?144,,42"
Refresco SEVEN UP sin Azúcar 1.5 L,$ 125,0,"https://www.tiendainglesa.com.uy/supermercado/refresco-seven-up-sin-azucar-1.5-l.producto?151,,42"
Refresco PASO DE LOS TOROS Pomelo 1.5 L,$ 134,0,"https://www.tiendainglesa.com.uy/supermercado/refresco-paso-de-los-toros-pomelo-1.5-l.producto?152,,42"
Edulcorante SPLENDA Tabletas x 300 Unidades,$ 940,0,"https://www.tiendainglesa.com.uy/supermercado/edulcorante-splenda-tabletas-x-300-unidades.producto?161,,42"
Agua Mineral Natural NATIVA Con Gas 2.25 L,$ 73,0,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-nativa-con-gas-2.25-l.producto?177,,42"
Queso Gambu CLALDY Untable sabor Natural 400g,$ 314,0,"https://www.tiendainglesa.com.uy/supermercado/queso-gambu-claldy-untable-sabor-natural-400g.producto?195,,42"
Mermelada LOS NIETITOS sabor Durazno Pote 500 gr,$ 121,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-durazno-pote-500-gr.producto?211,,42"
Café Soluble BRACAFÉ 170 gr,$ 417,0,"https://www.tiendainglesa.com.uy/supermercado/cafe-soluble-bracafe-170-gr.producto?214,,42"
Porotos Manteca LA ABUNDANCIA 500 gr,$ 183,0,"https://www.tiendainglesa.com.uy/supermercado/porotos-manteca-la-abundancia-500-gr.producto?227,,42"
Mermelada LOS NIETITOS de Ciruela Pote 500g,$ 125,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-de-ciruela-pote-500g.producto?253,,42"
Té TWININGS Earl Grey 10 Sobres,$ 305,0,"https://www.tiendainglesa.com.uy/supermercado/te-twinings-earl-grey-10-sobres.producto?260,,42"
Agua Mineral Natural NATIVA con Gas 600 ml,$ 58,0,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-nativa-con-gas-600-ml.producto?275,,42"
Agua Mineral Natural NATIVA Sin Gas 600 ml,$ 58,0,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-nativa-sin-gas-600-ml.producto?276,,42"
Dulce de Leche LOS NIETITOS 1Kg,$ 237,0,"https://www.tiendainglesa.com.uy/supermercado/dulce-de-leche-los-nietitos-1kg.producto?289,,42"
Frankfurters Livianitos Envasados al Vacío CENTENARIO x 4 Unidades,$ 110,$ 77,"https://www.tiendainglesa.com.uy/supermercado/frankfurters-livianitos-envasados-al-vacio-centenario-x-4-unidades.producto?290,,42"
Mermelada LOS NIETITOS sabor Naranja Pote 250g,$ 69,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-naranja-pote-250g.producto?293,,42"
Mermelada LOS NIETITOS Sabor Zapallo Pote 500g,$ 111,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-zapallo-pote-500g.producto?317,,42"
Té TWININGS English Breakfast 10 Sobres,$ 305,0,"https://www.tiendainglesa.com.uy/supermercado/te-twinings-english-breakfast-10-sobres.producto?318,,42"
Agua Mineral Natural con Gas NATIVA 1.65 L,$ 70,0,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-con-gas-nativa-1.65-l.producto?412,,42"
Leche Chocolatada Lactolate CONAPROLE 1 L,$ 77,$ 69,"https://www.tiendainglesa.com.uy/supermercado/leche-chocolatada-lactolate-conaprole-1-l.producto?414,,42"
Sopa Light de Zapallo KNORR Quick x 5 Unidades,$ 147,0,"https://www.tiendainglesa.com.uy/supermercado/sopa-light-de-zapallo-knorr-quick-x-5-unidades.producto?423,,42"
Queso Crema TALAR Mascarpone 220 gr,$ 230,0,"https://www.tiendainglesa.com.uy/supermercado/queso-crema-talar-mascarpone-220-gr.producto?475,,42"
