Categoria,LVL 1,LVL 2
Almacén,Golosinas - Chocolates,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Galletas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Copetín,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Conservas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Aderezos y Salsas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Especias - Sal - Sazonadores,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Té - Infusiones,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Dulces - Mermeladas - Miel,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Pastas - Pizzas - Tapas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Café - Cebada - Cocoa,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Aceites - Vinagres,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Cereales - Avenas - Semillas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Harina - Levaduras - Puré,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Arroz - Legumbres,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Postres preparar - Coberturas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Azúcar - Edulcorante,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Yerba,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Caldos - Sopas,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Huevos,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Almacén,Alimentos en Polvo,https://www.tiendainglesa.com.uy/supermercado/categoria/almacen/78
Frescos,Quesos,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Rotisería,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Lácteos,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Panadería,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Carnes,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Fiambres,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Verduras,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Frutas,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Pastas Frescas,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Frescos,Pescados - Mariscos,https://www.tiendainglesa.com.uy/supermercado/categoria/frescos/1894
Bebidas,Bebidas con alcohol,https://www.tiendainglesa.com.uy/supermercado/categoria/bebidas/1001
Bebidas,Bebidas sin alcohol,https://www.tiendainglesa.com.uy/supermercado/categoria/bebidas/1001
Congelados,Postres - Helados,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Comidas Preparadas Congeladas,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Hamburguesas,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Frutas - Verduras Congeladas,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Papas Congeladas,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Carnes - Aves,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Pescados - Mariscos Congelados,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Pizzas Congeladas,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Congelados,Panificados Congelados,https://www.tiendainglesa.com.uy/supermercado/categoria/congelados/181
Limpieza,Limpieza de Hogar,https://www.tiendainglesa.com.uy/supermercado/categoria/limpieza/1895
Limpieza,Limpieza de Ropa,https://www.tiendainglesa.com.uy/supermercado/categoria/limpieza/1895
Limpieza,Limpieza de Pisos y Muebles,https://www.tiendainglesa.com.uy/supermercado/categoria/limpieza/1895
Limpieza,Limpieza de Cocina,https://www.tiendainglesa.com.uy/supermercado/categoria/limpieza/1895
Limpieza,Limpieza de Baños,https://www.tiendainglesa.com.uy/supermercado/categoria/limpieza/1895
Perfumería,Cuidado Capilar y Coloración,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
Perfumería,Desodorantes,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
Perfumería,Higiene bucal,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
Perfumería,Cuidado Personal,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
Perfumería,Jabones,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
Perfumería,Suplementos - Complementos,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
Perfumería,Dermocosmética,https://www.tiendainglesa.com.uy/supermercado/categoria/perfumeria/569
