Categoria,Item,Moneda,Precio
gaming,,$U,34
gaming,Pasta Térmica 1g para CPU,USD,1
gaming,Cable de Poder SATA,$U,100
gaming,Cable Power para Discos Sólidos SATA,,4
gaming,Fan Cooler Deepcool XFan 80mm,,4
gaming,Cable de Poder Schuko 3 Metros,USD,6
gaming,Microfono de pie Xtreme flexible USB NNET,USD,7
gaming,Pasta Térmica Deepcool Z3 para CPU,USD,8
gaming,Fan Cooler Shot Gaming RGB 120mm,USD,350
gaming,Mouse Pad Perseo Alcaeus Tamaño S,,9
gaming,Controlador de Fan Cooler Deepcool hasta 4 Ventiladores,USD,9
gaming,Fan Cooler Deepcool RF 120W NNET,,10
gaming,Fan Cooler Deepcool RF120B Led Azul 120mm,$U,10
gaming,Fan Cooler Marvo Scorpion FN-10 LED 120mm,,10
gaming,Mouse Pad Meetion MT-P100 Longer,USD,10
gaming,Fan Cooler Deepcool CK-11509 para Intel,USD,10
gaming,Teclado Gamer X-Lizzard XZZ-TE-01 RGB USB,USD,10
gaming,Fan Cooler Deepcool RF 120R,USD,10
gaming,Tarjeta de Sonido USB 2.0 XTR,USD,10
gaming,Cooler Deepcool CK-AM209 NNET,USD,11
notebooks,,USD,201
notebooks,"Notebook Dell Latitude 3140 N100 4GB 64GB 11.6"" Win11",,266
notebooks,"Notebook Iview 1430NB Celeron N3350 4GB 64GB 14.1"" IPS Win 10",USD,269
notebooks,"Notebook Lenovo Dualcore 2.8Ghz, 4GB, 64GB eMMC, 14"" HD, Win 11 NNET",USD,319
notebooks,"Notebook Asus X515 Celeron N4020 4GB 128GB SSD 15.6"" Win 11",,350
notebooks,"Notebook Asus X515 Celeron N4020 8GB 128GB SSD 15.6"" Win 11",USD,369
notebooks,"Notebook Chuwi HeroBook Plus Celeron 4020 8GB 256GB 15.6"" Win 11",,389
notebooks,"Notebook HP 240 G9 Celeron 8GB 256GB SSD 14"" Win 11",USD,405
notebooks,"Notebook Gateway GWTN156-7 Core i3 8GB 256GB 15.6"" FHD Win10",USD,498
notebooks,Notebook Asus Vivobook 17 Core i3 8GB 256GB 17.3¨ FHD Win 10,,515
notebooks,"Notebook Asus Vivobook Go 15 Core i3 8GB 256GB 15.6"" FHD Win 11",USD,529
notebooks,"Notebook Lenovo V15 G3 IAP Core i3 8GB 256GB 15.6"" FHD Win 11",,535
notebooks,"Notebook Asus Vivobook GO 15 Ryzen 3 8GB 256GB 15.6"" FHD Win11",USD,549
notebooks,Notebook HP 240 G8 Core i3 8GB 256GB 14¨ HD Win 10,USD,569
notebooks,"Notebook Lenovo V14 Ryzen 5 8GB 256GB 14"" FHD Win 11 Pro",,594
notebooks,"Notebook HP 15-DY2795WM Core i3 8GB 256GB 15.6"" Touch Win 11",USD,599
notebooks,"Notebook Dell Core i3 4.4Ghz, 8GB, 512GB, 15.6"" FHD, Win 11 Pro NNET",,641
notebooks,"Notebook HP 240 G8 Core i5 8GB 256GB 14"" HD Win 11",USD,645
notebooks,"Notebook Asus Vivobook GO 15 Ryzen 5 8GB 256GB 15.6"" FHD Win11",,667
notebooks,"Notebook Dell Inspiron 5620 Ryzen 5 8GB 512GB 15.6"" FHD Win11",USD,669
notebooks,"Notebook Asus Vivobook F515EA Core i5 8GB 512GB 15.6"" Touch Win 11",USD,669
notebooks,"Notebook HP Ryzen 5 Pro 4.0GHz, 16GB, 256GB SSD, 14"" FHD, Win10 Pro c/Dock NNET",,679
notebooks,"Notebook Asus Vivobook GO 15 Ryzen 5 8GB 512GB 15.6"" FHD Win11",USD,685
notebooks,"Notebook Asus Ryzen 5 4.3Ghz, 8GB, 512GB SSD, 15.6"" FHD, Español NNET",,699
notebooks,"Notebook Asus Vivobook F515EA Core i5 12GB 512GB 15.6"" Touch Win 11",USD,709
notebooks,"Notebook Asus Vivobook GO 15 OLED Ryzen 5 8GB 512GB 15.6"" FH Win11",USD,711
notebooks,"Notebook Dell Inspiron 3520 Core i5 8GB 512GB SSD 15.6"" FHD Win11",USD,725
notebooks,"Notebook Acer Ryzen 7 4.3Ghz, 16GB, 512GB SSD, 15.6"" FHD, Win 11 NNET",,726
notebooks,"Notebook Lenovo Core i5 4.5Ghz, 8GB, 512GB SSD, 15.6"" FHD Touch NNET",USD,739
notebooks,Notebook Asus Vivobook 16 Core i5 8GB 512GB 16¨ Win 11,USD,769
notebooks,"Notebook Asus Vivobook GO 15 OLED Ryzen 5 8GB 512GB 15.6"" FHD Win11",,771
notebooks,NOTEBOOK HP 250G9 I5 125U 8GB 512GB,USD,789
notebooks,"Notebook Asus Vivobook F515EA Core i5 20GB 1TB 15.6"" Touch Win 11",USD,792
notebooks,"Notebook ASUS Vivobook GO 15 OLED Ryzen 5 8GB 512GB SSD 15.6""",,839
notebooks,"Notebook Asus Vivobook GO 15 OLED Ryzen 5 16GB 512GB SSD 15.6"" Win11",USD,890
notebooks,"Notebook Lenovo Core i7 4.7Ghz, 8GB, 256GB SSD, 17.3"" HD+, Win 11 NNET",USD,899
notebooks,"Notebook Asus Core i7 4.7Ghz, 16GB, 512GB SSD, 16"" WUXGA NNET",,914
notebooks,"Notebook HP 15-FD002LA Core i3 8GB 256GB 15.6"" Win 11",USD,929
notebooks,NOTEBOOK HP 17.3 I5 13 8 256 NNET,USD,949
notebooks,"Notebook Asus Core i7 4.7Ghz, 8GB, 512GB SSD, 15.6"" FHD, Español NNET",,966
notebooks,"Notebook Lenovo V14 G3 IAP Core i7 16GB 512GB SSD 14"" FHD Win11",USD,976
notebooks,"Notebook Gamer HP Victus Ryzen 5 8GB 512GB SSD 15.6"" RTX2050 4GB Win11",USD,999
notebooks,HP 15-DY5009LA 15 I7 512GB,USD,1039
notebooks,NOTEBOOK HP 17.3 RYZEN 5 8 256 NNET,USD,1049
